time,open,high,low,close,volume
2022-03-24 16:30:00,197.39,197.84,197.39,197.84,3617.0
2022-03-24 16:45:00,197.02,197.84,197.02,197.02,933.0
2022-03-24 17:00:00,197.84,197.84,196.645,196.645,540.0
2022-03-24 17:30:00,196.069,196.069,196.069,196.069,200.0
2022-03-24 17:45:00,197.5,197.5,197.5,197.5,300.0
2022-03-24 19:00:00,196.1101,196.1101,196.1101,196.1101,115.0
2022-03-24 19:15:00,197.0,197.0,197.0,197.0,100.0
2022-03-24 20:00:00,197.0,197.0,197.0,197.0,160.0
2022-03-25 07:30:00,197.79,198.0,197.79,198.0,421.0
2022-03-25 07:45:00,198.0,198.0,198.0,198.0,322.0
2022-03-25 08:00:00,199.0,199.0,199.0,199.0,676.0
2022-03-25 08:15:00,197.7,199.7954,197.7,198.05,1543.0
2022-03-25 08:30:00,199.14,199.14,199.14,199.14,150.0
2022-03-25 09:30:00,199.69,199.69,198.05,198.38,3361.0
2022-03-25 09:45:00,197.63,198.65,191.1457,192.1533,190439.0
2022-03-25 10:00:00,192.46,194.2699,191.2001,191.745,109000.0
2022-03-25 10:15:00,191.68,191.855,189.68,189.9,174390.0
2022-03-25 10:30:00,189.82,190.06,188.14,188.33,175460.0
2022-03-25 10:45:00,188.22,191.1,187.3001,190.15,121464.0
2022-03-25 11:00:00,189.96,191.52,189.405,190.915,131746.0
2022-03-25 11:15:00,191.1,191.9,189.36,189.36,83232.0
2022-03-25 11:30:00,189.63,190.59,187.3,187.96,80431.0
2022-03-25 11:45:00,187.855,189.84,187.77,189.84,57131.0
2022-03-25 12:00:00,189.53,189.89,188.8798,189.43,58818.0
2022-03-25 12:15:00,189.4088,190.36,188.88,190.27,33306.0
2022-03-25 12:30:00,190.27,191.48,190.172,191.0317,46077.0
2022-03-25 12:45:00,191.0,191.13,189.69,189.98,24427.0
2022-03-25 13:00:00,189.98,190.7,189.75,190.06,29041.0
2022-03-25 13:15:00,189.98,190.98,189.95,190.71,17867.0
2022-03-25 13:30:00,190.58,191.6899,190.06,190.23,34499.0
2022-03-25 13:45:00,190.25,190.75,189.9901,190.75,22757.0
2022-03-25 14:00:00,190.78,191.49,190.14,191.49,15093.0
2022-03-25 14:15:00,191.535,192.31,191.2401,191.805,29735.0
2022-03-25 14:30:00,191.73,192.98,191.51,192.8236,47482.0
2022-03-25 14:45:00,192.94,193.28,192.31,192.8156,39440.0
2022-03-25 15:00:00,192.89,193.2,192.5,193.065,33467.0
2022-03-25 15:15:00,193.065,193.39,191.99,193.35,40735.0
2022-03-25 15:30:00,193.3317,193.46,191.5,191.54,37885.0
2022-03-25 15:45:00,191.4,193.08,191.4,192.78,43009.0
2022-03-25 16:00:00,192.85,194.1,192.85,193.99,148958.0
2022-03-25 16:15:00,193.81,193.81,193.81,193.81,3913.0
2022-03-25 16:30:00,193.02,193.81,193.02,193.81,4352.0
2022-03-25 16:45:00,193.8,193.87,193.8,193.87,2254.0
2022-03-25 17:00:00,194.0,194.0,194.0,194.0,100.0
2022-03-25 18:45:00,193.2,193.2,193.2,193.2,156.0
2022-03-25 20:00:00,194.0,194.5,194.0,194.5,709.0
2022-03-28 05:30:00,192.01,192.05,192.01,192.05,520.0
2022-03-28 07:45:00,193.0,193.0,193.0,193.0,157.0
2022-03-28 08:15:00,193.0,193.4786,192.05,192.05,1967.0
2022-03-28 08:45:00,192.1019,192.1038,192.1019,192.1038,300.0
2022-03-28 09:00:00,192.15,193.0,192.15,193.0,558.0
2022-03-28 09:15:00,192.1,192.2,191.9,191.9,3311.0
2022-03-28 09:30:00,191.72,191.72,188.9382,188.9382,1212.0
2022-03-28 09:45:00,191.17,200.9,190.1703,200.5,298014.0
2022-03-28 10:00:00,200.99,201.34,197.29,198.66,101806.0
